market_id,question,category,volume,horizon_hours,quoted_prob,outcome,quote_gap_hours,end_date
563650,"SCOTUS accepts sports event contract case by July 31, 2026?     ",scotus-accepts-sports-event-contract-case-by-july-31-2026,960210.46,24,0.001,0,0.02,2026-08-01T03:59:00Z
563650,"SCOTUS accepts sports event contract case by July 31, 2026?     ",scotus-accepts-sports-event-contract-case-by-july-31-2026,960210.46,1,0.001,0,0.02,2026-08-01T03:59:00Z
599303,Will Mallory McMorrow win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,135162.02,24,0.0005,0,0.0,2026-08-04T00:00:00Z
599303,Will Mallory McMorrow win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,135162.02,1,0.0005,0,0.0,2026-08-04T00:00:00Z
599304,Will Haley Stevens win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,1430894.62,24,0.025,0,0.0,2026-08-04T00:00:00Z
599304,Will Haley Stevens win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,1430894.62,1,0.018,0,0.0,2026-08-04T00:00:00Z
599305,Will Abdul El-Sayed win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,2455198.11,24,0.972,1,0.0,2026-08-04T00:00:00Z
599305,Will Abdul El-Sayed win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,2455198.11,1,0.9825,1,0.01,2026-08-04T00:00:00Z
599306,Will Dana Nessel win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,72742.78,24,0.0005,0,0.0,2026-08-04T00:00:00Z
599306,Will Dana Nessel win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,72742.78,1,0.0005,0,0.01,2026-08-04T00:00:00Z
599307,Will Rashida Tlaib win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,77267.35,24,0.0005,0,0.0,2026-08-04T00:00:00Z
599307,Will Rashida Tlaib win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,77267.35,1,0.0005,0,0.0,2026-08-04T00:00:00Z
599308,Will Sarah Anthony win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,50107.75,24,0.0005,0,0.0,2026-08-04T00:00:00Z
599308,Will Sarah Anthony win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,50107.75,1,0.0005,0,0.0,2026-08-04T00:00:00Z
599309,Will Kristen McDonald Rivet win the 2026 Michigan Democratic Primary?,michigan-democratic-senate-primary-winner,155974.68,24,0.0005,0,0.0,2026-08-04T00:00:00Z
